geo_point_2d,geo_shape,projection,stop_id,stop_name,latitude,longitude,postcode,easting,northing,gisfid,suburb,googlemaps_drive_to
"-38.0272689915, 145.31215108","{""coordinates"": [145.31215108, -38.0272689915], ""type"": ""Point""}",MGA2020 Zone 55,4218,Lloyd Ave/Princes Hwy (Narre Warren),-38.02726899146901,145.31215108003403,3805,351861,5789816,1043,Narre Warren,"https://www.google.com.au/maps/dir//-38.02726899146901,145.31215108003403/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0213000097, 145.2994369428","{""coordinates"": [145.2994369428, -38.0213000097], ""type"": ""Point""}",MGA2020 Zone 55,4223,Casey Aquatic & Recreation Centre/Princes Hwy (Narre Warren),-38.021300009736244,145.29943694279274,3805,350733,5790458,1046,Narre Warren,"https://www.google.com.au/maps/dir//-38.021300009736244,145.29943694279274/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0173370402, 145.2940041738","{""coordinates"": [145.2940041738, -38.0173370402], ""type"": ""Point""}",MGA2020 Zone 55,4224,Fountain Gate Tennis Club/Princes Hwy (Narre Warren),-38.017337040202825,145.29400417376195,3805,350248,5790889,1047,Narre Warren,"https://www.google.com.au/maps/dir//-38.017337040202825,145.29400417376195/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0290709716, 145.3272509031","{""coordinates"": [145.3272509031, -38.0290709716], ""type"": ""Point""}",MGA2020 Zone 55,4216,Cyril Molyneux Reserve/Princes Hwy (Berwick),-38.029070971588986,145.32725090307224,3806,353190,5789640,1055,Berwick,"https://www.google.com.au/maps/dir//-38.029070971588986,145.32725090307224/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0125960223, 145.3303130756","{""coordinates"": [145.3303130756, -38.0125960223], ""type"": ""Point""}",MGA2020 Zone 55,45729,Bullfinch Way/Whistler Dr (Berwick),-38.01259602232241,145.3303130756092,3806,353426,5791473,1064,Berwick,"https://www.google.com.au/maps/dir//-38.01259602232241,145.3303130756092/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0260790093, 145.2896769821","{""coordinates"": [145.2896769821, -38.0260790093], ""type"": ""Point""}",MGA2020 Zone 55,3083,Edgewood Cl/Harold Keys Dr (Narre Warren South),-38.02607900932979,145.2896769821389,3805,349886,5789912,1070,Narre Warren South,"https://www.google.com.au/maps/dir//-38.02607900932979,145.2896769821389/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0289490219, 145.3288140236","{""coordinates"": [145.3288140236, -38.0289490219], ""type"": ""Point""}",MGA2020 Zone 55,3693,Parkhill Dr/Princes Hwy (Berwick),-38.02894902186579,145.32881402357043,3806,353327,5789656,1071,Berwick,"https://www.google.com.au/maps/dir//-38.02894902186579,145.32881402357043/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0298819618, 145.3354581895","{""coordinates"": [145.3354581895, -38.0298819618], ""type"": ""Point""}",MGA2020 Zone 55,3695,Wilson Botanic Park/Princes Hwy (Berwick),-38.02988196179158,145.33545818953277,3806,353912,5789563,1073,Berwick,"https://www.google.com.au/maps/dir//-38.02988196179158,145.33545818953277/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0306979925, 145.3402710323","{""coordinates"": [145.3402710323, -38.0306979925], ""type"": ""Point""}",MGA2020 Zone 55,3696,York Rd/Princes Hwy (Berwick),-38.030697992507015,145.34027103228476,3806,354336,5789480,1074,Berwick,"https://www.google.com.au/maps/dir//-38.030697992507015,145.34027103228476/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0308809634, 145.3449488711","{""coordinates"": [145.3449488711, -38.0308809634], ""type"": ""Point""}",MGA2020 Zone 55,3697,Berwick Village SC/High St (Berwick),-38.030880963366904,145.34494887108497,3806,354747,5789467,1075,Berwick,"https://www.google.com.au/maps/dir//-38.030880963366904,145.34494887108497/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0058550227, 145.2895660925","{""coordinates"": [145.2895660925, -38.0058550227], ""type"": ""Point""}",MGA2020 Zone 55,3740,Susan Cl/Saffron Dr (Narre Warren),-38.00585502270829,145.289566092535,3805,349835,5792156,1078,Narre Warren,"https://www.google.com.au/maps/dir//-38.00585502270829,145.289566092535/@your+location,17z/data=!4m2!4m1!3e0"
